Timestamp,Do you consent to our terms and services?,What is your opinion on expanding federally implemented universal health care?,What are your thoughts on pineapple on pizza? ,Question 1 Evaluation,Question 2 Evaluation
2021/03/03 5:52:13 PM MST,I consent,"It is good to expand government health care options, but people should be able to choose private health care if they choose to. ","Pineapple can be good on pizza, it's not my favorite though. ",Positive,Positive
2021/03/03 5:53:03 PM MST,I consent,"I believe that expanding federally implemented universal health care is a fantastic idea. The point of universal healthcare is to help all those in need. You never know when you'll have an accident, and the last thing you want to think about is how you'll be able to pay for it. Granted, taxes will be higher, but I would rather have higher taxes than go into debt trying not to die. ","Pineapple on pizza is atrocious. I would never eat such trash. Pineapple should not be on pizza; it just doesn't make a lick of sense. Imagine this: you're eating wonderful greasy pizza and then BAM pineapple juice! That's not a fun experience, no one wants that. Pineapple pizza is just wrong and there's no two ways about it.",Positive,Negative
2021/03/03 5:54:24 PM MST,I consent,"It is good to expand the available options for government provided healthcare, people should still however have the choice to use private Healthcare.","Pineapple is ok on pizza, it's not my favorite though. ",Positive,Positive
2021/03/03 5:54:30 PM MST,I consent,A necessary goal to rein in health care cost,Depends on what other toppings are included.,Positive,Negative
2021/03/03 6:20:09 PM MST,I consent,"I think the a universal healthcare system would be nice, but we need everyone to be on it and get rid of private insurance. Because all of us on private insurance have to pay for everyone else’s, and that’s a burden on people. The whole system is flawed, and Americans pay more than anyone else for healthcare, yet we get less care than everyone else. So our fundamental system needs to be changed before anything else happens. ","Absolutely not. I don’t like pineapple though, so my opinion might be a bit biased. ",Positive,Negative
2021/03/03 6:22:33 PM MST,I consent,I am in favor for expanding universal healthcare.,I throughly enjoy pineapple pizza,Positive,Positive
2021/03/03 6:23:11 PM MST,I consent,I am in favor of expanding universal healthcare.,I am in favor of having pineapple on my pizza.,Positive,Positive
2021/03/03 6:35:51 PM MST,I consent,I think that if we have everyone free and equal healthcare then it is unfair because you wouldn’t have to work for your level of healthcare and I believe that you should get what you work for,I like it and it should not be discriminated on ,Negative,Positive
2021/03/03 6:36:57 PM MST,I consent,Already said (forgot I needed to take screenshots of the submitted form),Yes,N/A,Positive
2021/03/03 6:40:02 PM MST,I consent,"I think it should be accomplished in a way that doesn’t take too money from the middle class, but instead by taxing the top 1% of the wealthiest people in our country.",It’s actually not bad!,Positive,Positive
2021/03/03 6:44:36 PM MST,I consent,"I think that it's a good idea, if done properly.","Personally, I don't like pineapple on pizza. On the other hand, if others do, I don't disapprove or feel negatively towards that person or their food choices.",Positive,Negative
2021/03/03 6:57:35 PM MST,I consent,"I am in favor of federally implemented universal health care. There are many people around the world and in America that are not able to access healthcare, resulting in many issues with their health. Even simple healthcare, such as checkups once in a while, will be a lot better than not having anything at all.",Pineapple on pizza is delicious.,Positive,Positive
2021/03/03 7:33:49 PM MST,I consent,A great idea,Awful,Positive,Negative
2021/03/03 8:24:46 PM MST,I consent,"Here, implementation should be firm but very slow and intentional in account for the ramifications of removing entirely or even just lessening the presence of third party players (private insurance), and also to minimize it destabilizing the U.S. economy by imposing unequivocal expenses on the federal government without distribution between private and public sectors. It also shouldn't disrupt the ability of private companies to to engage in philanthropy across the world; if drug companies begin raising prices in order to start breaking even in the developing world and global access to drugs decreases, that would be a detriment, albeit not domestically. Compensation to medical institutions also shouldn't fall too abruptly, without time to properly adapt.","Warranted, but overly hated on.",Positive,Negative
2021/03/03 8:36:45 PM MST,I consent,Universal health care is good,pinapple on pizza is good,Positive,Positive
2021/03/03 8:53:03 PM MST,I consent,I approve ,Disgusting ,Positive,Negative
2021/03/03 10:14:22 PM MST,I consent,"I think the a universal healthcare system would be nice, but we need everyone to be on it and get rid of private insurance. Because all of us on private insurance have to pay for everyone else’s, and that’s a burden on people. The whole system is flawed, and Americans pay more than anyone else for healthcare, yet we get less care than everyone else. So our fundamental system needs to be changed before anything else happens. ","Absolutely not. I don’t like pineapple though, so my opinion might be a bit biased. ",N/A,N/A
2021/03/03 10:15:36 PM MST,I consent,"Universal healthcare should be federally assisted and regulated by the government, but run by private companies because I do not trust the government to deal with all they do in addition to a completely universal healthcare system and do it well, the private sector is much more efficient and if regulated to reduce profit and focus on reliability and efficiency, it would work fantastically.","Can be perfection at the right time, however having pineapple on pizza too often makes it worse.",Positive,N/A
2021/03/03 10:57:03 PM MST,I consent,"I think the a universal healthcare system would be nice, but we need everyone to be on it and get rid of private insurance. Because all of us on private insurance have to pay for everyone else’s, and that’s a burden on people. The whole system is flawed, and Americans pay more than anyone else for healthcare, yet we get less care than everyone else. So our fundamental system needs to be changed before anything else happens. ","Absolutely not. I don’t like pineapple though, so my opinion might be a bit biased. ",N/A,N/A
2021/03/03 11:18:56 PM MST,I consent,I haven't really thought about it,I really enjoy it. Not really sure why a lot of people don't like it.,N/A,Positive
2021/03/04 6:50:01 AM MST,I consent,"It should have been done years ago. Overall it will reduce our taxes, not raise them. ","Excellence. Best topping for pizza, hands down. ",Positive,Positive
2021/03/04 7:14:31 AM MST,I consent,"BY GOD we, like every other advanced country on earth, must have UHC",take it or leave it,Positive,N/A
2021/03/04 7:27:42 AM MST,I consent,"I think that it's a good idea, if done properly.","Personally, I don't like pineapple on pizza. On the other hand, if others do, I don't disapprove or feel negatively towards that person or their food choices.",Positive,Negative
2021/03/04 7:36:57 AM MST,I consent,"Universal healthcare should not be implemented because of the effect it would have on the rest of society. There's only a small portion of the population that needs this system, why tax everyone. ",No. ,Negative,Negative
2021/03/04 7:38:48 AM MST,I consent,I think it's a good idea so that more hospitals can open and people have more places to go in case of emergencies.,I think pineapple of pizza is very good.,Positive,Positive
2021/03/04 7:40:12 AM MST,I consent,"I disagree with the expansion of federally implemented universal health care. I am in favor of private industry, and dislike the idea of increased government power.","I am okay with eating pineapple pizza, but it's my last choice if other pizzas are available.",Negative,Negative
2021/03/04 7:40:18 AM MST,I consent,"I think that is important that we not only expand universal health care but better the system of it. Everyone should have the opportunity to get quality health services despite their living conditions. It does become very expensive for the government but the are countries, such as Norway where health care is close to free for everyone. If other countries do it, so can we. ",so bad,Positive,Negative
2021/03/04 7:44:44 AM MST,I consent,"It sounds amazing, however I think that it’s a little unreasonable. Yes, in an ideal world, everyone would have access to healthcare. However in reality that would put extremely high taxes on everyone and make the national government more powerful. And even if everyone had access to healthcare, there would still be people complaining about it not being effective, not helping others, etc.",I love it! Best combo ever,Negative,Positive
2021/03/04 7:45:53 AM MST,I consent,I fully support universal health care. Our current healthcare system neglects too many people. ,"Not my go to topping, but I like it. ",Positive,Positive
2021/03/04 7:56:31 AM MST,I consent,Very strongly in favor of universal health care,Indifferent,Positive,N/A
2021/03/04 7:58:04 AM MST,I consent,I am in favor of it,Don't like it,Positive,Negative
2021/03/04 7:59:32 AM MST,I consent,"I think that it is good idea. Even though taxes will inevitably rise because of it, I think it would benefit our nation as a whole.","Many dislike it, however, I think it's fine. I don't understand why people think its weird.",Positive,N/A
2021/03/04 8:08:45 AM MST,I consent,It will take more of civilians tax dollars for the expansion of universal health care. ,I personally love pineapple pizza. ,Negative,Positive
2021/03/04 8:12:11 AM MST,I consent,I think a cheap universal health care is essential for a growing economy that already relies on a large contribution of funds from the government.,Sweet and salty is a preference not a lifestyle.,Positive,N/A
2021/03/04 8:18:32 AM MST,I consent,"Sounds good, but doesn´t matter to me.",Not that good.,Positive,Negative
2021/03/04 8:19:17 AM MST,I consent,i think health care for all is  important,i like it only when the pineapple is put on after the pizza is cooked,Positive,Positive
2021/03/04 8:25:35 AM MST,I consent,"I think people should actually try to take care of themselves, anything wrong in their life is their fault.",DELICIOUS,Negative,Positive
2021/03/04 8:25:51 AM MST,I consent,"Positive, I believe all individuals have the right to health care regardless of socioeconomic status.","Positive, I like the flavors. ",Positive,Positive
2021/03/04 8:26:07 AM MST,I consent,"I think that as a developed country, the U.S. should have free healthcare for all of its citizens, because it is a human right. So overall I support federally implemented universal health care. ",It tastes good :),Positive,Positive
2021/03/04 8:26:44 AM MST,I consent,Healthcare becoming paid and sponsored by the government is a good idea but many who have self inflected injuries or issues would be using a majority of the funds provided by the government and specifically for Albuquerque we have a massive drug problem and the entire country is experiencing an obesity epidemic and all of the effort using to treat them would be using the majority of the funds for a minority of the population. It would be a great accomplishment if we could have more universal health care but unnecessary and avoidable treatments across the country should be reduced first before implementing a more federal supported health care. I don't know much about healthcare costs but I know that living a healthy lifestyle will save you money in the future and if everyone lived a healthy lifestyle a universal health care system would go more to the ones who need it like genetic diseases and other health emergencies out of their control. So I don't think the US is ready for expanding federally implemented universal health care but maybe in a generation or two it would work out.,"Hey I would have never thought of the idea, but its not that bad but definitely not my favorite toping to put on a pizza.",Positive,Positive
2021/03/04 8:30:21 AM MST,I consent,I think we should have it because we shouldn't need to pay money for it. ,I hate it,Positive,Negative
2021/03/04 8:31:13 AM MST,I consent,I think it's a good idea to help out people that couldn't afford healthcare but I do still think there should be a privatized option.,Really Tasty,Positive,Positive
2021/03/04 8:31:15 AM MST,I consent,"As I am all for it, I would hope there is a more achievable way to do so that wont skyrocket tax rates.",Pineapple on pizza is very underrated and over hated. It's very good.,Positive,Positive
2021/03/04 8:31:20 AM MST,I consent,"I believe that everyone should have access to health care, regardless of their current situation. ","I don't see the appeal in it, but I've never tried it so I can't have a true opinion on whether I like it or not. ",Positive,N/A
2021/03/04 8:31:36 AM MST,I consent,"I am against expanding universal healthcare, as I believe that a government-implemented universal healthcare program would be a gigantic waste of money and that private charity is a better solution.",I have nothing against pineapple on pizza; it can taste good. ,Negative,Positive
2021/03/04 8:31:56 AM MST,I consent,"My opinion on expanding federally implemented universal health care is a helpful thing for people. However it does take away from the governments pay by a lot. This could either benefit the people or lower the governments pay. I don't know that much about this kind of thing, but what I believe is that we should expand on the federally implemented universal health care for people you can't afford it.",My thoughts on pineapple on pizza is that I believe that it isn't bad. I would eat pineapple pizza rather than just cheese pizza. However I would go out of my way to get pineapple pizza if I could get a combo. If they like pineapple pizza I don't have a say in it.,Positive,Positive
2021/03/04 8:31:58 AM MST,I consent,"I believe we should expand universal health care. It will help provide aid to already-struggling communities plus more public clinics/health centers will help improve the national quality of life by improving the lifespan of the poorest in our society. Plus, it would help keep more infectious diseases under-control as the people who cannot afford sick days will be healthier, increasing the amount of work being done and decreasing the amount of disease transmitted by those unable to take a sick day.","I love pineapple on pizza. The only downside is how moist it may make the pizza, but it's still very good.",Positive,Positive
2021/03/04 8:32:10 AM MST,I consent,"If you provide for society, I belive you should have access to health care. ",Nah that ain't it lol,Positive,Negative
2021/03/04 8:32:11 AM MST,I consent,"I believe we should expand universal health care. It will help provide aid to already-struggling communities plus more public clinics/health centers will help improve the national quality of life by improving the lifespan of the poorest in our society. Plus, it would help keep more infectious diseases under-control as the people who cannot afford sick days will be healthier, increasing the amount of work being done and decreasing the amount of disease transmitted by those unable to take a sick day.","I love pineapple on pizza. The only downside is how moist it may make the pizza, but it's still very good.",N/A,N/A
2021/03/04 8:32:48 AM MST,I consent,"I think that universal single payer healthcare ought to be implemented in the United States, and that it will make healthcare more accessible for all people.","I can understand how someone might like it, but I'm not a fan.",Positive,Negative
2021/03/04 8:33:05 AM MST,I consent,I think that it is a good idea because it would help more people. Even though the quality might diminish i think it is better to get others the treatment and not some people better treatment.,I like it,Positive,Positive
2021/03/04 8:34:21 AM MST,I consent,"I believe universal health care will provide a better safety net for people with lower incomes. Access to health care is a basic necessity and shouldn't be privatized like it currently is. Implementing universal health care would hurt the profits of private companies, and so there'd have to be a large push for it to be put into affect. ","Some people like the combination of sweet and savory, I don't think that applies to pineapple in pizza. It is an abomination and shouldn't exist. This of course is my personal opinion, but it is also the correct opinion. Eating pizza and suddenly getting to a pieces of cold, wet, and slimy pineapple is not an enjoyable experience. Frankly, I don't understand why people thing pineapple on pizza is a good idea. ",Positive,Negative
2021/03/04 8:34:25 AM MST,I consent,"I am assuming that this is the basic form of health care that is guaranteed for everyone. In my opinion, the health care system should not be expanded, because this would mean taxes rates would be higher. I do believe that we should care for others, but it should also be a choice and not a demanded thing. I am willing to donate to non-profit organizations that provide health care, but I am not willing to be forced to do so.","In my opinion, pizza is pizza, so I will eat pineapple on pizza. Although, I would never personally choose that type of pizza.",Negative,N/A
2021/03/04 8:34:30 AM MST,I consent,My opinion on expanding federally implemented universal health care is good.,"My thoughts on Pineapple pizza is that it is okay. I wouldn't go out of my way to eat it by myself, but would eat it if the other choice was only cheese pizza. ",Positive,N/A
2021/03/04 8:35:00 AM MST,I consent,"Healthcare is a right. I think this pandemic has really shown that just because someone can't afford medical treatment, doesn't mean that they don't deserve it. More people are unemployed and out of work, but they somehow still deserve to get medical treatment without falling into outrageous debt. Other countries have universal healthcare and are doing just fine, and the US is one of the biggest economies in the world, so there's no reason other than selfishness that we can't do it either. Then again, I'm generally hesitant on these sorts of things so I'd also be alright with a public option.","Honestly, I like it. I think salty/savory and sweet things are generally pretty good and pineapple on pizza is no exception to that. On the other hand, I lack a fine palette so my opinion is pretty negligible. ",Positive,Positive
2021/03/04 8:35:03 AM MST,I consent,"Honestly, I do not know what that means.",I think pineapple on pizza can be pretty good sometimes.,N/A,Positive
2021/03/04 8:35:11 AM MST,I consent,"I agree with expanding universal health care for the less fortunate, because health of the people is more important than costs.","I hate pineapples on pizza, and don't know who thought that was a good idea.",Positive,Negative
2021/03/04 8:35:49 AM MST,I consent,"I believe that federally implemented universal health care should be a thing. I believe this because everyone no matter their circumstances should receive healthcare, and the ability to live a healthy life.","Personally Hawaiian is my favorite type of pizza, so I don't mind Pineapple on my pizza. Having a sweeter flavor on top of a pizza is more appealing to me than a meaty flavor.",Positive,Positive
2021/03/04 8:36:51 AM MST,I consent,"We should have universal healthcare. The main reason for this is because the US does have the money for it, and there is no reason that the more money someone has the better healthcare they deserve. Not only would socialized healthcare help to prevent some more expensive injuries in the future (by making preventative healthcare free which is extremely important), but it would also allow people to not have to choose between going to the doctor for a potentially dangerous situation and putting food on the table. ","I don't mind it. I don't think it adds anything, but with ham it's fine. ",Positive,N/A
2021/03/04 8:38:38 AM MST,I consent,"I think universal healthcare is a disaster. It requires exorbitant taxes, and meanwhile is often poorly implemented. It also means people won't have the immediate or timely access to healthcare as seen in countries such as Canada, who's citizens often come to the US for treatment of medical issues, particularly specialized cases. All in all, I just believe the government is incompetent at pretty much everything it does, and the private sector is much better at determining fair and feasible prices for healthcare.",I don't like pineapple on pizza. It's disgusting. ,Negative,Negative
2021/03/04 8:39:39 AM MST,I consent,I believe that health care is a basic human right rather than a privilege; it should be available to everyone. Universal health also contributes greatly to the economy with more individuals being able to work jobs rather than being unemployed due to health issues.,I've never tried it.,Positive,N/A
2021/03/04 8:39:48 AM MST,I consent,"My opinion on expanding federally implemented universal health care is that has not been controlled properly, and therefore should not continue unless properly controlled and evenly taxing people who pay for it.  Too many people take advantage of it who do not pay enough taxes for it.  For instance, my Grandpa and Grandma have payed their state taxes for years (btw they owned restaurants), are over 65, are supposed to get universal health care, and just a few months ago were elgible to get their free vaccination for COVID-19, and did not get it because the health care system is absolutely un-regulated and had to end up going to a different state and PAYING for the vaccine.  That doesn't seem too universal to me.  This is why people buy their OWN health insurance, not free insurance and wasting other people's hard earned tax payer dollars so all of these homeless people can buy more useless drugs for themselves.","Pineapple pizza is good if the chunks aren't too big, and their is an even amount of pepperoni on the pizza to balance the flavors. ",Negative,Positive
2021/03/04 8:40:48 AM MST,I consent,"That is an excellent idea that really, should already be in place. The US has the funds to pay for such a thing and it is ridiculous that such a developed and wealthy nation such as the US is not paying for universal healthcare, especially when every other developed nation is. Funds can be reallocated, for example, away from the military, into universal healthcare without raising taxes either. Furthermore, people who lack healthcare because they can not afford it, jack up the copay for those who do have insurance putting everyone in a bad position. Those who make excuses for why we can not or should not implement universal healthcare are just being selfish.",I don't care. I will eat it without complaints but would never order it myself. It does not need to be such a hotly debated topic.,Positive,N/A
2021/03/04 8:41:12 AM MST,I consent,I think it will create Healthcare access to everyone and no one will be uninsured. ,I love pineapple on pizza!,Positive,Positive
2021/03/04 8:50:30 AM MST,I consent,It is very important and needs to happen,Best type of pizza,Positive,Positive
2021/03/04 8:50:35 AM MST,I consent,strongly agree,moderately disagree,Positive,Negative
2021/03/04 8:50:51 AM MST,I consent,it'll do more harm than good ,its ight,Negative,N/A
2021/03/04 8:51:42 AM MST,I consent,I don't really know what implemented means but I think that health care should be free or a least a lot more cheaper then it is today,"I dont like it, sorry.",Positive,Negative
2021/03/04 8:52:06 AM MST,I consent,"It would be great for people who can't afford health care and it would make sure they are being taken care of, but on the other hand it can't be forever so at some point they would need to get a job and get their own health care",they are good,Positive,Positive
2021/03/04 8:53:59 AM MST,I consent,My opinion is that it's a great idea and everyone deserves healthcare.,Pineapple on pizza is very good.,Positive,Positive
2021/03/04 9:01:15 AM MST,I consent,"I feel that federally implemented universal health care is a necessity. I once lived in a country in which children under the age of 18 was given federally implemented universal health care, which made me and my parent's life so much easier. We were able to go to the clinic not having to worry whether the insurance will cover our cost or not. I was able to get treated much faster... etc. Thus, I feel that federally implemented universal health care is a must have to some degree. ",I don't prefer pineapple on pizza because it just doesn't go along with pizza. ,Positive,Negative
2021/03/04 9:05:16 AM MST,I consent,My opiinion on health care is that health care lowers costs for an economy and forces hospitals and doctors to provide same standard of care at low cost.,Pineapple on pizza is very good it is not bad if you'd never tried it you should try it when i first heard of it sounded awful and when i tried it was good and then i liked it so you should try it as well it.s good to try new things.,Positive,Positive
2021/03/04 9:16:34 AM MST,I consent,My thoughts about health care is that it  lowers health care costs for an economy  And forces hospitals and doctors to provide same standard of work at cost.,Pineapple on pizza is acutally really good i liked it the first time i tried it and i recommend you guys to try it if you have not already because when i first heard of pineapple pizza it really sounded disgusting but when i tried it i liked it.,Positive,Positive
2021/03/04 9:21:49 AM MST,I consent,My thoughts about health care is that it Lowers health care costs for an economy and then it Forces hospitals and doctors to provide same standard of care at low costs.,I like pineapple on pizza it.s actually pretty good the first time i heard of pineapple pizza it sounded disgusting but when i tried it it was good so i suggest you try it as well if you have not.,Positive,Positive
2021/03/04 9:26:12 AM MST,I consent,"My thoughts on expanding federally implemented universal health care is that it should not be done to the fullest extent, as that would rob tax dollars from other important fields such as education and military, however I agree that healthcare should be made much more available to the general public.",I enjoy pineapple on pizza.,Negative,Positive
2021/03/04 9:43:43 AM MST,I consent,"I personally think that it is the way of the future. Though some might reject it, we will start seeing more of it as more progressive people enter the government. In general, I see it as a good that will keep on giving.",I enjoy the occasional pineapple on pizza. I don't see anything wrong with it.,Positive,Positive
2021/03/04 9:46:07 AM MST,I consent,"It has good and bad, helpful for some who truly will benefit with costs. It may cause a gap in services, as wealthier could choose to ""buy"" premium care, it could cause the ""best"" health care providers to choose to care for these wealthier patients, via a ""private"" system, which may cause long waiting times to be seen for those not as wealthy and inferior care. ","Not bad if you balance the sweet flavor with pepperoni and green chili. But ham, that's a no!",N/A,Positive
2021/03/04 9:46:58 AM MST,I consent,"I support federally implemented universal health care, people have a right to be able to survive.",Pineapple is good on pizza.,Positive,Positive
2021/03/04 9:55:57 AM MST,I consent,For it. ,Yes,Positive,Positive
2021/03/04 9:59:12 AM MST,I consent,"I'm not sure if it is,  or is not a good idea.    Universal health care would mean available to all,   but I think there are a lot of people who already have health care,   so they could get rid of the old one to go to the new for free?   So then how good would be the new health care?    I think that people who really want health care should have it,   so then it makes sense to have universal health care.    I think maybe health care should be available to all,   under certain conditions.  ",It's good!  ,Positive,Positive
2021/03/04 10:07:28 AM MST,I consent,Good.,Love it.,Positive,Positive
2021/03/04 10:21:46 AM MST,I consent,"do it if it can be done effectively, if not then it's a bit of a waste of money ",Pineapple on pizza only really works on Hawaiian pizza which is pretty good but not good with many other things,Positive,Positive
2021/03/04 10:32:28 AM MST,I consent,"It's a good thing, expanding federally implemented universal health care is necessary because of the situation in our country right now. Minimum wage has not increased substantially in the past years, forcing many to suffer in the healthcare department because it is too expensive to pay for it and afford insurance. Whether its governmental regulation or a government implemented universal healthcare, something needs to change. ","Pineapple on pizza is bad, putting a sweet fruit like that on pizza does not compliment the taste of pizza like meats or other vegetables do. ",Positive,Negative
2021/03/04 10:33:26 AM MST,I consent,jkb;,kjh,N/A,N/A
2021/03/04 10:33:59 AM MST,I consent,"The federal system in general is too decentralized, so a federally implemented universal health care system wouldn't work well.",Tastes good.,Negative,Positive
2021/03/04 10:37:32 AM MST,I consent,it is important for everyone to have good healthcare ,i don't like it ,Positive,Negative
2021/03/04 10:37:59 AM MST,I consent,Expanding federally implemented universal health care will greatly strain the economy and other resources.,"Pineapple on pizza is a wonderful topping, while some may believe that adding a sweet fruit onto a savory food is a bad idea, others disagree and believe it actually does promote the pizza. The contrasting flavors give rise to a much better a proportionate bite.",Negative,Positive
2021/03/04 10:38:34 AM MST,I consent,I support an implementation with raised taxes in higher brackets or shifting funding from military,I like pineapple on pizza but would generally don’t order it ,Positive,Positive
2021/03/04 10:39:00 AM MST,I consent,I support ,I like ,Positive,Positive
2021/03/04 10:39:42 AM MST,I consent,I don't think that there should be federally implemented universal health care because it will diminish the overall quality of the healthcare provided.,Pineapple is the best pizza topping because it complements the red sauce very well.,Negative,Positive
2021/03/04 10:40:04 AM MST,I consent,"This should definitely be implemented, and I feel strongly about this ever since the pandemic due to how many low income households have struggled. ","Amazing, show stopping, spectacular, best thing to happen.",Positive,Positive
2021/03/04 10:40:36 AM MST,I consent,"I believe that universal healthcare is a necessary policy in order to make healthcare, which I believe to be a right, available to everyone, especially the owners and employees of small businesses. However, I believe that due to the size and population of the United States, in addition to the difference in average political orientation between states, that the majority of universal healthcare (even if implemented federally) should be managed by the states, rather than by the federal government. This does not change the fact that I think a federal universal healthcare program would be massively beneficial for Americans.",gross.,Positive,Negative
2021/03/04 10:41:33 AM MST,I consent,I think there should not be federally implemented universal health care because it will diminish the overall quality of health care provided.,Pineapple is the best pizza topping because it complements the red sauce very well.,Negative,N/A
2021/03/04 10:41:36 AM MST,I consent,Federally implemented unviersal health care will create strain on the economy and other resources which could be used in other services.,Pineapple on pizza is a good idea; implementing a sweet fruit into a usually savory dish is beneficial to improve the consumer's experience.,Negative,Positive
2021/03/04 10:42:30 AM MST,I consent,I think that its a good idea because it could get healthcare to people who need and or cant afford it.,Shouldnt exist.,Positive,Negative
2021/03/04 10:45:09 AM MST,I consent,"I am for universal health care, but I don't know much about the subject and don't know the cons of it. ",I never tried it so I don't know. ,Positive,N/A
2021/03/04 10:53:25 AM MST,I consent,"Sounds good to me, but it also sounds like there are more to the question than is asked.","A pleasant flavor but also one that should only be eaten rarely. More than one slice would take the juicy flavor out of the pizza, quickly dulling the taste buds of the meticulous wriggling tongue. The lukewarm slices (or cubes, depends who made it) of pineapple sprinkled over the pizza wouldn't usually be beneficial, so it is recommended that the cook make the pizza and pineapple separate. One way to make it that fits my personal taste is to make a smaller combo pizza with a side of iced pineapple. There the pineapple would have more sugar and bromelain, expanding the borders of paradise in the mouth. ",Positive,Positive
